Customer ID,frequency,monetary,last_purchase,distinct_products,recency_days,will_return_90d
12346,1,77183.6,2011-01-18 10:01:00,1,235,0
12347,6,3402.39,2011-08-02 08:48:00,107,39,1
12348,4,1709.3999999999999,2011-04-05 10:47:00,25,158,1
12349,1,1402.6200000000001,2010-10-28 08:23:00,55,317,1
12350,1,334.40000000000003,2011-02-02 16:01:00,17,219,0
12351,1,300.93,2010-11-29 15:23:00,21,284,0
12352,7,1905.6100000000001,2011-03-22 16:08:00,38,171,1
12353,2,406.76,2011-05-19 17:47:00,23,113,0
12354,1,1079.4,2011-04-21 13:11:00,58,141,0
12355,1,459.40000000000003,2011-05-09 13:49:00,13,123,0
12356,5,6313.38,2011-04-08 12:33:00,104,155,1
12357,2,12079.99,2010-11-16 14:29:00,165,297,1
12358,2,1505.94,2011-07-12 10:04:00,28,60,1
12359,4,4047.06,2011-06-03 12:26:00,160,99,1
12360,4,2429.07,2011-08-19 10:10:00,99,22,1
12361,1,189.9,2011-02-25 13:51:00,10,196,0
12362,4,1747.3500000000001,2011-08-11 15:02:00,89,29,1
12363,2,552.0,2011-08-22 10:18:00,23,19,0
12364,1,623.92,2011-08-19 15:24:00,34,21,1
12365,2,641.38,2011-02-21 14:04:00,22,200,0
12369,2,1442.83,2010-10-22 13:13:00,83,322,0
12370,3,2802.66,2011-03-10 12:48:00,125,184,1
12371,1,1571.74,2010-10-26 13:37:00,70,318,1
12372,2,914.9200000000001,2011-05-11 10:43:00,32,122,1
12373,1,364.6,2011-02-01 13:10:00,14,220,0
12374,2,857.75,2010-10-14 13:31:00,14,330,1
12375,1,230.3,2011-09-02 14:23:00,11,7,1
12376,2,503.15,2010-11-15 12:15:00,11,299,0
12377,3,2215.36,2011-01-28 15:45:00,90,224,0
12378,1,4008.62,2011-08-02 10:34:00,219,39,0
12379,2,860.34,2011-06-22 16:32:00,41,79,1
12380,1,607.5500000000001,2011-06-07 09:49:00,36,95,1
12381,1,1268.74,2011-08-12 09:57:00,62,29,1
12383,5,1850.56,2011-06-08 08:02:00,84,94,0
12384,1,292.69,2011-08-10 11:23:00,14,31,1
12385,1,1938.4,2010-11-25 15:14:00,65,288,0
12386,2,401.9,2011-01-06 12:37:00,10,247,0
12387,1,143.94,2010-10-20 16:27:00,9,324,0
12388,5,2327.17,2011-07-14 13:28:00,64,57,1
12389,1,870.3,2010-11-02 11:52:00,23,312,0
12393,5,1877.95,2011-04-08 09:45:00,53,155,1
12394,1,381.08,2011-05-06 14:01:00,21,126,1
12395,9,2225.29,2011-08-19 15:18:00,74,21,1
12397,1,1214.81,2011-07-27 14:21:00,70,44,1
12399,5,1422.85,2011-08-12 13:15:00,54,28,0
12400,1,205.25,2010-10-21 13:45:00,11,323,0
12401,1,84.3,2011-02-09 13:50:00,5,212,0
12402,3,531.65,2011-01-20 13:49:00,23,232,0
12405,1,1710.39,2011-07-14 08:52:00,54,58,0
12406,2,2967.11,2011-06-09 10:23:00,66,93,1
12407,4,1407.36,2011-07-28 16:28:00,50,43,1
12408,6,3392.17,2011-09-02 10:27:00,88,8,1
12409,2,11438.14,2011-06-10 12:19:00,112,92,1
12410,2,693.33,2011-02-04 10:39:00,26,218,0
12411,1,346.9,2010-10-26 09:25:00,22,319,0
12412,3,1084.0,2011-07-25 11:17:00,41,47,1
12413,3,805.25,2011-04-17 15:33:00,37,145,1
12414,3,562.4100000000001,2011-05-06 14:51:00,16,126,0
12415,19,118913.74,2011-09-01 13:51:00,406,8,1
12417,11,3987.58,2011-08-25 10:26:00,178,16,1
12418,2,1141.89,2011-08-19 11:08:00,57,22,0
12419,2,503.01,2010-11-19 10:04:00,23,295,0
12421,4,842.32,2011-08-17 10:56:00,36,24,1
12422,7,2233.73,2011-09-05 09:48:00,86,5,0
12423,8,2114.95,2011-08-31 08:55:00,109,10,1
12424,3,2893.49,2011-06-30 12:06:00,66,72,0
12425,1,964.21,2010-09-17 14:10:00,55,357,1
12426,1,582.73,2011-05-29 12:26:00,30,104,0
12427,1,303.5,2010-12-03 10:44:00,10,281,1
12428,8,7548.12,2011-08-11 12:58:00,252,29,1
12429,5,3891.53,2011-06-20 12:14:00,85,82,1
12431,12,5172.82,2011-08-12 14:19:00,137,28,1
12432,3,4016.66,2011-06-22 13:12:00,75,79,1
12433,5,9661.1,2011-09-09 13:44:00,219,0,1
12434,2,583.54,2011-03-24 13:05:00,34,169,1
12435,2,6499.83,2011-03-17 07:40:00,44,177,1
12436,1,509.01,2011-09-01 12:09:00,16,9,0
12437,19,4861.76,2011-09-02 13:15:00,108,7,1
12438,1,890.0699999999999,2011-07-22 13:29:00,49,49,1
12441,1,173.55,2010-12-08 10:45:00,11,276,0
12444,2,2627.27,2011-08-10 08:41:00,96,31,1
12445,1,301.58000000000004,2010-10-15 12:28:00,20,330,1
12447,1,476.49,2011-04-10 13:25:00,26,152,0
12449,5,3493.18,2011-09-09 09:13:00,93,1,1
12450,4,539.78,2011-07-06 14:41:00,24,65,0
12451,2,5307.82,2011-05-05 17:34:00,162,127,1
12453,1,707.09,2011-07-28 14:08:00,43,43,0
12454,4,13151.44,2010-11-09 10:09:00,9,305,1
12455,6,2659.5,2011-08-04 11:07:00,83,37,1
12456,2,2265.4,2011-07-31 15:25:00,77,40,1
12457,4,1699.93,2011-04-20 10:10:00,37,143,1
12458,2,891.4,2011-02-28 10:55:00,42,194,1
12461,2,826.88,2011-09-06 16:57:00,35,3,0
12462,1,762.11,2011-02-09 14:44:00,40,212,1
12463,3,985.7900000000001,2011-06-17 14:28:00,51,84,1
12464,6,780.55,2011-08-25 13:33:00,6,15,1
12465,1,440.94,2011-06-23 13:37:00,26,78,1
12467,1,132.8,2010-10-12 15:41:00,9,332,0
12468,2,729.54,2011-06-05 11:36:00,36,97,0
12471,33,18753.43,2011-08-24 16:13:00,136,16,1
12472,7,6974.63,2011-07-24 11:55:00,218,48,1
12473,2,1175.75,2011-08-17 12:04:00,60,24,1
12474,18,6664.03,2011-09-02 10:53:00,220,8,1
12475,1,426.26,2010-10-26 08:49:00,25,319,1
12476,17,9227.42,2011-07-21 17:39:00,252,50,1
12477,4,11404.8,2011-08-31 09:11:00,183,10,1
12480,5,3876.27,2011-07-19 14:04:00,132,52,1
12481,11,7415.35,2011-06-13 10:52:00,180,89,1
12483,11,2906.56,2011-09-02 11:42:00,46,8,1
12484,4,3658.65,2011-08-31 09:44:00,222,10,1
12486,1,1037.28,2010-10-04 12:14:00,49,341,0
12489,1,334.93,2011-01-07 13:13:00,15,245,0
12490,8,4468.11,2011-09-07 13:22:00,116,2,1
12492,2,578.39,2011-08-26 14:51:00,30,14,1
12493,2,433.74,2011-06-27 10:17:00,20,75,0
12494,6,1093.16,2011-07-01 12:17:00,50,71,1
12497,1,3993.6400000000003,2010-11-04 12:31:00,26,310,1
12500,7,1998.69,2011-08-25 12:50:00,25,16,1
12501,1,2169.39,2011-01-07 12:28:00,149,246,0
12502,5,3723.87,2011-09-05 11:52:00,102,5,0
12504,1,162.6,2010-10-18 15:09:00,5,326,1
12505,1,955.2,2010-10-27 09:18:00,42,318,0
12506,1,73.5,2011-04-21 08:54:00,23,142,0
12507,3,1304.81,2011-07-28 17:09:00,19,43,0
12509,1,176.5,2011-02-28 14:45:00,7,193,0
12510,2,982.5699999999999,2011-07-20 10:15:00,29,52,0
12511,1,3084.02,2010-10-07 10:39:00,190,338,0
12513,1,612.29,2011-08-19 10:51:00,35,22,0
12514,1,1017.6800000000001,2011-03-17 16:38:00,51,176,0
12515,1,383.7,2010-12-21 15:43:00,16,262,0
12516,2,1230.3,2011-06-12 11:37:00,28,90,1
12517,2,1521.45,2011-08-05 15:02:00,173,35,1
12518,1,324.83,2011-08-21 13:18:00,18,19,1
12520,4,2045.85,2011-07-20 14:38:00,104,51,1
12521,1,599.68,2011-07-20 10:51:00,38,52,0
12523,11,1612.25,2011-08-24 10:13:00,75,17,1
12524,10,5903.49,2011-06-30 15:30:00,130,71,1
12526,1,520.3,2011-09-06 14:19:00,29,3,1
12527,2,284.92,2011-02-18 09:41:00,15,204,1
12528,4,1287.37,2011-08-17 12:30:00,46,24,1
12530,5,2151.89,2011-08-08 10:59:00,60,33,1
12534,1,1089.18,2011-08-01 10:26:00,63,40,0
12535,2,716.35,2011-09-09 08:48:00,28,1,0
12537,1,732.94,2010-10-27 08:36:00,43,318,0
12538,1,276.5,2010-11-26 13:02:00,13,287,1
12539,4,5015.03,2011-03-22 16:00:00,147,171,1
12540,15,12617.82,2011-09-08 13:38:00,251,1,1
12541,2,536.14,2011-06-19 15:59:00,27,82,1
12543,1,980.25,2010-09-17 15:51:00,43,357,0
12545,1,628.15,2011-03-25 12:04:00,34,169,1
12547,2,207.8,2011-05-26 12:38:00,7,107,0
12548,1,95.19999999999999,2011-06-26 15:35:00,5,75,0
12551,1,168.0,2010-12-17 11:23:00,10,267,0
12553,9,3336.06,2011-08-21 14:42:00,96,19,1
12554,1,468.5,2010-09-17 12:29:00,26,358,0
12556,1,308.75,2011-07-11 13:35:00,60,60,1
12557,5,11444.94,2011-07-04 13:19:00,15,67,1
12559,2,561.71,2011-02-02 09:49:00,21,220,0
12560,2,1436.31,2011-08-19 15:22:00,77,21,1
12561,1,238.85,2011-02-10 11:39:00,16,212,0
12562,5,2790.41,2011-08-05 08:40:00,68,36,1
12563,1,249.24,2010-10-27 09:52:00,13,318,0
12564,1,456.90000000000003,2011-03-23 14:55:00,21,170,0
12565,1,145.92000000000002,2011-02-24 10:34:00,9,198,0
12567,10,8239.28,2011-09-04 14:22:00,273,5,1
12569,15,2167.6800000000003,2011-09-08 15:22:00,48,1,1
12571,1,248.35,2011-08-10 12:35:00,14,31,1
12573,4,565.39,2011-04-26 15:52:00,102,136,0
12574,1,218.45000000000002,2011-01-28 09:20:00,11,225,0
12576,5,1207.82,2011-09-05 10:06:00,74,5,1
12577,5,975.84,2010-12-15 16:21:00,182,268,1
12578,3,3456.6,2011-01-13 15:34:00,109,239,1
12580,1,415.7,2011-04-07 10:24:00,24,156,0
12582,3,1143.29,2011-04-15 08:45:00,48,148,0
12583,13,6468.36,2011-08-25 12:26:00,97,16,1
12584,4,782.59,2011-08-04 17:07:00,27,36,1
12585,2,2040.1,2011-04-19 13:39:00,77,143,0
12586,2,1443.38,2010-11-30 10:47:00,60,284,1
12588,2,414.98,2010-11-05 12:53:00,18,308,1
12589,3,1191.48,2011-07-18 12:05:00,37,54,1
12590,2,9864.26,2011-05-12 14:52:00,68,120,0
12591,3,1338.95,2011-01-26 14:35:00,63,226,0
12592,2,437.6,2011-09-08 15:04:00,11,1,0
12593,3,418.1,2011-08-23 12:43:00,14,18,0
12594,10,3504.25,2011-08-10 14:26:00,62,30,1
12596,1,269.95,2011-04-11 13:22:00,15,151,1
12597,2,1428.81,2011-06-09 16:04:00,72,92,1
12598,4,1584.38,2011-07-01 11:43:00,45,71,1
12599,9,1374.22,2011-08-05 12:38:00,33,36,1
12600,12,2765.02,2011-08-19 11:23:00,30,22,1
12601,6,681.26,2011-06-03 10:17:00,24,99,0
12604,1,178.5,2011-03-23 12:06:00,10,171,1
12605,3,975.96,2010-11-28 14:18:00,55,285,0
12608,1,415.79,2010-10-31 10:49:00,16,314,0
12609,4,1642.18,2011-06-06 15:31:00,79,95,1
12610,2,1256.25,2011-08-25 12:57:00,68,15,1
12613,5,1912.66,2011-05-26 09:18:00,81,107,1
12614,1,315.6,2011-03-07 10:22:00,20,187,0
12615,3,1717.05,2011-06-24 13:35:00,79,77,1
12616,3,1131.1,2011-09-05 15:17:00,32,4,0
12619,5,2087.46,2011-08-15 13:22:00,28,25,1
12620,1,561.66,2011-05-19 12:10:00,33,114,1
12621,20,14803.960000000001,2011-08-31 15:30:00,246,9,1
12622,1,180.1,2011-04-21 16:39:00,11,141,0
12623,2,667.25,2011-03-08 13:50:00,32,185,0
12624,2,641.13,2011-08-25 15:04:00,36,15,0
12625,2,2683.82,2011-05-12 09:54:00,73,121,0
12626,6,4774.0,2011-08-19 11:46:00,170,22,1
12627,5,2727.83,2011-09-04 14:09:00,112,5,1
12629,2,1558.22,2010-11-19 09:18:00,40,295,0
12633,4,2557.45,2011-08-02 09:35:00,89,39,1
12635,2,1193.54,2011-07-08 08:43:00,63,64,1
12637,9,7035.02,2011-09-09 11:48:00,238,1,1
12639,2,1058.79,2011-04-15 12:48:00,46,148,0
12641,1,185.9,2011-08-16 13:26:00,10,24,0
12642,1,366.45,2011-08-24 09:23:00,24,17,1
12643,9,6031.0199999999995,2011-08-03 12:56:00,12,37,0
12644,2,1050.36,2011-08-02 10:33:00,63,39,0
12645,4,1781.26,2011-08-22 12:40:00,64,19,1
12647,12,4833.69,2011-08-05 13:49:00,100,35,1
12648,2,800.2,2011-07-08 11:55:00,33,64,0
12649,5,1512.8500000000001,2011-08-24 14:41:00,65,16,0
12651,3,278.75,2011-01-09 12:46:00,22,244,0
12652,2,1017.0300000000001,2011-01-12 15:00:00,51,240,0
12653,2,2209.85,2011-07-14 10:41:00,37,58,0
12654,3,337.75,2011-05-26 10:43:00,19,107,1
12655,1,261.35,2010-10-12 09:17:00,16,333,0
12656,4,3697.08,2011-08-15 12:53:00,89,25,1
12661,1,162.0,2010-09-29 16:46:00,11,345,0
12662,10,3641.17,2011-08-24 13:42:00,112,16,1
12664,3,1957.48,2011-07-19 12:43:00,10,53,1
12665,2,144.8,2011-01-19 08:34:00,7,234,0
12666,1,1248.42,2010-11-10 16:40:00,31,303,0
12668,5,5998.0,2011-03-25 14:53:00,158,168,1
12669,3,2744.0299999999997,2011-07-12 09:54:00,98,60,0
12670,4,2173.11,2011-09-02 09:51:00,49,8,1
12672,1,225.9,2011-01-14 09:20:00,10,239,0
12673,2,840.4,2011-01-17 11:46:00,52,236,1
12674,3,1402.0,2011-09-09 10:51:00,42,1,1
12676,6,1945.72,2011-08-08 10:01:00,50,33,1
12678,11,13314.47,2011-08-31 11:22:00,116,10,1
12679,2,906.38,2011-05-18 12:18:00,43,115,1
12680,1,311.78,2011-08-18 15:44:00,20,22,1
12681,21,15170.130000000001,2011-07-11 11:39:00,306,61,1
12682,25,10538.14,2011-08-31 12:18:00,194,10,1
12683,12,6622.19,2011-09-08 10:35:00,164,2,1
