Description,Naive_SMAPE,ExponentialSmoothing_SMAPE,ARIMA_SMAPE,Давуу талтай загвар,Min_SMAPE
REGENCY CAKESTAND 3 TIER,39.769327656678605,38.29174966999342,35.10474308360978,ARIMA,35.10474308360978
WHITE HANGING HEART T-LIGHT HOLDER,72.28229123583573,60.59359068600793,70.44112548256066,ExponentialSmoothing,60.59359068600793
"PAPER CRAFT , LITTLE BIRDIE",,,,Өгөгдөл дутмаг,
Manual,104.27250424830899,107.03973999183451,110.84597266037228,Naive,104.27250424830899
JUMBO BAG RED RETROSPOT,56.12888816281328,61.50564276367617,57.47696570131593,Naive,56.12888816281328
POSTAGE,52.317811171985454,45.94385057217092,52.30478897201552,ExponentialSmoothing,45.94385057217092
ASSORTED COLOUR BIRD ORNAMENT,48.49564272878255,53.33500525556442,48.251993073434505,ARIMA,48.251993073434505
PARTY BUNTING,78.5115000904133,84.86607848366657,59.95962532861222,ARIMA,59.95962532861222
MEDIUM CERAMIC TOP STORAGE JAR,51.36912093634775,139.42394325842312,56.713940950688055,Naive,51.36912093634775
PAPER CHAIN KIT 50'S CHRISTMAS,58.970719133462666,59.25949468719972,53.6287846687912,ARIMA,53.6287846687912
CHILLI LIGHTS,54.04731490731177,54.598695699982514,57.83031674389175,Naive,54.04731490731177
JUMBO BAG STRAWBERRY,65.69766810305592,68.65214007480746,65.68488797797448,ARIMA,65.68488797797448
BLACK RECORD COVER FRAME,61.03698974092865,53.72478910695722,64.78607405512426,ExponentialSmoothing,53.72478910695722
WOOD BLACK BOARD ANT WHITE FINISH,33.86145689687936,22.396839617335807,24.29086816594327,ExponentialSmoothing,22.396839617335807
VINTAGE UNION JACK BUNTING,60.44025608425696,41.69552907772759,73.34561050468223,ExponentialSmoothing,41.69552907772759
ROTATING SILVER ANGELS T-LIGHT HLDR,64.62233418299354,67.8552424060387,93.75008545033953,Naive,64.62233418299354
EDWARDIAN PARASOL NATURAL,72.80556044530357,79.89031188553591,81.697694318315,Naive,72.80556044530357
RABBIT NIGHT LIGHT,191.6804383017597,188.95825819542233,121.16383483209063,ARIMA,121.16383483209063
JUMBO  BAG BAROQUE BLACK WHITE,60.43558413025468,57.60169403672115,57.723114802655914,ExponentialSmoothing,57.60169403672115
HEART OF WICKER LARGE,90.8305173372454,87.25933484118423,89.89385832037259,ExponentialSmoothing,87.25933484118423
