Description,Model,ForecastMonth,ForecastRevenue
REGENCY CAKESTAND 3 TIER,Naive,2012-01-01,4532.28
REGENCY CAKESTAND 3 TIER,Naive,2012-02-01,4532.28
REGENCY CAKESTAND 3 TIER,Naive,2012-03-01,4532.28
REGENCY CAKESTAND 3 TIER,ExponentialSmoothing,2012-01-01,6487.889127552785
REGENCY CAKESTAND 3 TIER,ExponentialSmoothing,2012-02-01,5878.271629306079
REGENCY CAKESTAND 3 TIER,ExponentialSmoothing,2012-03-01,5268.654131059374
REGENCY CAKESTAND 3 TIER,ARIMA,2012-01-01,7222.2110885105385
REGENCY CAKESTAND 3 TIER,ARIMA,2012-02-01,8798.01835684851
REGENCY CAKESTAND 3 TIER,ARIMA,2012-03-01,9721.152989387278
WHITE HANGING HEART T-LIGHT HOLDER,Naive,2012-01-01,1995.79
WHITE HANGING HEART T-LIGHT HOLDER,Naive,2012-02-01,1995.79
WHITE HANGING HEART T-LIGHT HOLDER,Naive,2012-03-01,1995.79
WHITE HANGING HEART T-LIGHT HOLDER,ExponentialSmoothing,2012-01-01,5252.268122156294
WHITE HANGING HEART T-LIGHT HOLDER,ExponentialSmoothing,2012-02-01,4767.19680128036
WHITE HANGING HEART T-LIGHT HOLDER,ExponentialSmoothing,2012-03-01,4282.125480404425
WHITE HANGING HEART T-LIGHT HOLDER,ARIMA,2012-01-01,10158.178964535058
WHITE HANGING HEART T-LIGHT HOLDER,ARIMA,2012-02-01,5585.646631843286
WHITE HANGING HEART T-LIGHT HOLDER,ARIMA,2012-03-01,8147.157976665925
"PAPER CRAFT , LITTLE BIRDIE",Naive,2012-01-01,168469.6
"PAPER CRAFT , LITTLE BIRDIE",Naive,2012-02-01,168469.6
"PAPER CRAFT , LITTLE BIRDIE",Naive,2012-03-01,168469.6
"PAPER CRAFT , LITTLE BIRDIE",ExponentialSmoothing,2012-01-01,168469.6
"PAPER CRAFT , LITTLE BIRDIE",ExponentialSmoothing,2012-02-01,168469.6
"PAPER CRAFT , LITTLE BIRDIE",ExponentialSmoothing,2012-03-01,168469.6
"PAPER CRAFT , LITTLE BIRDIE",ARIMA,2012-01-01,168469.6
"PAPER CRAFT , LITTLE BIRDIE",ARIMA,2012-02-01,168469.6
"PAPER CRAFT , LITTLE BIRDIE",ARIMA,2012-03-01,168469.6
Manual,Naive,2012-01-01,438.1
Manual,Naive,2012-02-01,438.1
Manual,Naive,2012-03-01,438.1
Manual,ExponentialSmoothing,2012-01-01,5445.227115621185
Manual,ExponentialSmoothing,2012-02-01,5345.912472669907
Manual,ExponentialSmoothing,2012-03-01,5246.597829718631
Manual,ARIMA,2012-01-01,4282.575389741414
Manual,ARIMA,2012-02-01,4692.85904324302
Manual,ARIMA,2012-03-01,4736.644647068136
JUMBO BAG RED RETROSPOT,Naive,2012-01-01,2020.3999999999999
JUMBO BAG RED RETROSPOT,Naive,2012-02-01,2020.3999999999999
JUMBO BAG RED RETROSPOT,Naive,2012-03-01,2020.3999999999999
JUMBO BAG RED RETROSPOT,ExponentialSmoothing,2012-01-01,7260.902909591982
JUMBO BAG RED RETROSPOT,ExponentialSmoothing,2012-02-01,7324.495143339726
JUMBO BAG RED RETROSPOT,ExponentialSmoothing,2012-03-01,7388.087377087471
JUMBO BAG RED RETROSPOT,ARIMA,2012-01-01,8191.149659156685
JUMBO BAG RED RETROSPOT,ARIMA,2012-02-01,6958.560565136648
JUMBO BAG RED RETROSPOT,ARIMA,2012-03-01,7204.766611178834
POSTAGE,Naive,2012-01-01,2778.0
POSTAGE,Naive,2012-02-01,2778.0
POSTAGE,Naive,2012-03-01,2778.0
POSTAGE,ExponentialSmoothing,2012-01-01,7657.085027776727
POSTAGE,ExponentialSmoothing,2012-02-01,7868.90146606751
POSTAGE,ExponentialSmoothing,2012-03-01,8080.717904358293
POSTAGE,ARIMA,2012-01-01,6709.563558022721
POSTAGE,ARIMA,2012-02-01,6311.602801797864
POSTAGE,ARIMA,2012-03-01,6351.885188476285
ASSORTED COLOUR BIRD ORNAMENT,Naive,2012-01-01,1999.46
ASSORTED COLOUR BIRD ORNAMENT,Naive,2012-02-01,1999.46
ASSORTED COLOUR BIRD ORNAMENT,Naive,2012-03-01,1999.46
ASSORTED COLOUR BIRD ORNAMENT,ExponentialSmoothing,2012-01-01,5129.59037775557
ASSORTED COLOUR BIRD ORNAMENT,ExponentialSmoothing,2012-02-01,5247.477239462894
ASSORTED COLOUR BIRD ORNAMENT,ExponentialSmoothing,2012-03-01,5365.364101170218
ASSORTED COLOUR BIRD ORNAMENT,ARIMA,2012-01-01,3907.9199490222777
ASSORTED COLOUR BIRD ORNAMENT,ARIMA,2012-02-01,4466.269503288713
ASSORTED COLOUR BIRD ORNAMENT,ARIMA,2012-03-01,4629.623324210783
PARTY BUNTING,Naive,2012-01-01,465.3
PARTY BUNTING,Naive,2012-02-01,465.3
PARTY BUNTING,Naive,2012-03-01,465.3
PARTY BUNTING,ExponentialSmoothing,2012-01-01,838.166361300528
PARTY BUNTING,ExponentialSmoothing,2012-02-01,961.2578134802512
PARTY BUNTING,ExponentialSmoothing,2012-03-01,1084.3492656599744
PARTY BUNTING,ARIMA,2012-01-01,2572.2116856558723
